41046,30435,1
41046,33003,1
41046,24016,1
41046,22957,1
41046,26569,1
41046,21218,1
41046,23791,1
41046,24411,1
41046,25282,1
41046,26656,1
41046,26711,1
41046,27862,1
41046,27940,1
41046,28094,1
41046,28252,1
41046,28881,1
41046,29413,1
41046,29666,1
41046,29916,1
41046,29917,1
41046,30291,1
41046,31097,1
41046,31422,1
41046,21319,1
41047,36039,1
41047,21218,1
41047,36147,1
41047,36200,1
41047,36743,1
41047,23000,1
41047,36903,1
41047,22116,1
41047,22973,1
41047,23202,1
41047,23903,1
41047,24839,1
41047,21604,1
41047,22725,1
41047,36818,1
41047,22976,1
41047,36918,1
41047,25548,1
41047,26150,1
41047,22056,1
41047,34589,1
41047,24081,1
41048,23550,1
41048,21218,1
41048,26798,1
41048,27746,1
41048,28060,1
41048,28103,1
41048,28267,1
41048,29553,1
41048,30082,1
41048,30257,1
41048,31218,1
41048,31443,1
41048,31662,1
41048,32224,1
41048,32550,1
41048,32557,1
41048,32603,1
41048,32791,1
41049,22301,1
41049,26037,1
41049,21230,1
41049,22492,1
41049,23263,1
41049,29012,1
41049,22577,1
41049,27474,1
41049,21218,1
41049,34229,1
41050,23571,1
41050,21376,1
41050,24081,1
41050,24904,1
41050,25126,1
41051,23369,1
41051,27407,1
41051,27727,1
41051,30408,1
41051,21218,1
41051,29804,1
41051,28576,1
41051,29523,1
41052,27271,1
41052,21218,1
41052,30604,1
41052,32362,1
41052,31879,1
41052,33348,1
41053,30221,1
41053,21218,1
41053,30135,1
41054,26877,1
41054,28751,1
41054,21219,1
41054,31514,1
41054,29609,1
41054,29614,1
41054,30132,1
41054,31144,1
41054,33417,1
41054,33710,1
41055,21219,1
41055,29287,1
41055,29549,1
41055,29713,1
41055,29618,1
41055,32406,1
41055,30932,1
41056,28304,1
41056,29234,1
41056,25526,1
41056,29222,1
41056,28206,1
41056,21219,1
41056,28286,1
41056,30160,1
41056,29586,1
41056,24113,1
41056,29851,1
41056,29850,1
41056,29523,1
41056,31222,1
41056,32445,1
41056,31666,1
41056,33331,1
41056,32669,1
41056,34175,1
41056,34787,1
41056,33112,1
41056,35301,1
41056,35279,1
41057,21219,1
41057,28931,1
41057,29464,1
41057,30282,1
41057,28665,1
41057,29522,1
41057,28934,1
41057,29580,1
41057,29539,1
41057,29510,1
41057,29132,1
41057,34022,1
41057,31350,1
41057,32321,1
41057,31710,1
41057,31241,1
41057,32609,1
41057,32082,1
41057,33972,1
41057,32669,1
41057,31659,1
41057,33907,1
41058,25234,1
41058,26541,1
41058,27659,1
41058,29022,1
41058,21219,1
41058,31428,1
41058,29543,1
41058,31498,1
41058,32046,1
41058,31773,1
41059,28274,1
41059,21220,1
41059,29573,1
41059,29561,1
41059,30585,1
41059,30897,1
41059,29561,1
41059,29554,1
41059,31450,1
41059,31529,1
41059,31546,1
41059,31629,1
41059,31836,1
41059,31979,1
41060,25871,1
41060,32916,1
41060,21219,1
41061,21220,1
41061,26766,1
41061,30166,1
41061,32826,1
41061,21826,1
41061,29179,1
41062,25736,1
41062,26092,1
41062,27136,1
41062,27419,1
41062,21990,1
41062,26518,1
41062,30478,1
41062,37497,1
41062,21220,1
41062,27544,1
41063,27247,1
41063,21220,1
41063,25871,1
41063,25402,1
41064,22588,1
41064,23002,1
41064,23013,1
41064,26980,1
41064,24430,1
41064,31204,1
41064,21219,1
41065,28394,1
41065,24294,1
41065,26980,1
41066,23583,1
41066,24549,1
41066,36282,1
41066,25234,1
41066,29234,1
41066,21219,1
41067,27434,1
41067,27723,1
41067,28210,1
41067,28119,1
41067,24113,1
41067,27756,1
41067,25042,1
41067,21219,1
41067,28094,1
41067,28388,1
41067,26351,1
41067,27608,1
41067,29573,1
41067,26253,1
41067,30217,1
41067,25234,1
41067,24042,1
41067,28532,1
41068,29576,1
41068,21219,1
41068,29713,1
41068,34118,1
41069,28358,1
41069,21219,1
41069,33097,1
41070,30646,1
41070,22831,1
41070,31476,1
41070,21219,1
